dpy,mental_state,personality,metric,n_base,n_trauma,median_base,median_trauma,delta_median,mean_base,mean_trauma,delta_mean,mwu_p,cliffs_d,note
52,anxious,brave,vader_compound,20,9,-0.1286,0.0,0.1286,-0.19,0.2733,0.4633,0.0132,-0.5833,
52,anxious,cautious,tb_polarity,20,30,0.0,0.0,0.0,-0.0312,-0.0046,0.0266,0.6245,0.0833,
52,anxious,cautious,vader_compound,20,30,0.0,0.0,0.0,0.0205,0.1129,0.0923,0.5105,-0.1117,
52,anxious,curious,tb_polarity,38,26,0.0,0.0,0.0,0.0637,-0.0493,-0.1129,0.3688,0.1296,
52,anxious,curious,vader_compound,38,26,0.0646,0.0,-0.0646,0.1521,0.1005,-0.0516,0.5307,0.0931,
52,anxious,empathetic,tb_polarity,16,12,0.0,0.0333,0.0333,0.0808,0.0997,0.0189,0.9247,-0.026,
52,anxious,empathetic,vader_compound,16,12,0.064,0.0514,-0.0127,0.1045,0.0204,-0.0841,0.7444,0.0781,
52,determined,aggressive,tb_polarity,1,1,,,,,,,,,insufficient data
52,determined,aggressive,vader_compound,1,1,,,,,,,,,insufficient data
52,determined,brave,tb_polarity,6,8,0.0,0.05,0.05,-0.0368,-0.0033,0.0335,1.0,-0.0208,
52,determined,brave,vader_compound,6,8,0.0,0.0107,0.0107,0.0136,0.1025,0.0889,0.4677,-0.25,
52,determined,cautious,tb_polarity,9,5,0.0,0.0,0.0,0.0051,-0.0097,-0.0148,0.7851,-0.1111,
52,determined,cautious,vader_compound,9,5,-0.128,0.0,0.128,-0.2008,0.2134,0.4142,0.225,-0.4222,
52,determined,curious,tb_polarity,6,9,-0.0766,0.0,0.0766,-0.1505,-0.0648,0.0857,0.3515,-0.2963,
52,determined,curious,vader_compound,6,9,0.0178,0.0,-0.0178,0.1596,-0.0593,-0.2189,0.2772,0.3333,
52,determined,empathetic,tb_polarity,3,2,,,,,,,,,insufficient data
52,determined,empathetic,vader_compound,3,2,,,,,,,,,insufficient data
52,hopeful,aggressive,tb_polarity,7,1,,,,,,,,,insufficient data
52,hopeful,aggressive,vader_compound,7,1,,,,,,,,,insufficient data
52,hopeful,brave,tb_polarity,12,14,0.025,0.0,-0.025,-0.0211,0.0281,0.0492,0.8364,-0.0536,
52,hopeful,brave,vader_compound,12,14,0.4609,-0.0786,-0.5395,0.3836,0.0357,-0.3479,0.1423,0.3452,
52,hopeful,cautious,tb_polarity,10,18,0.0203,0.0,-0.0203,0.0549,-0.0259,-0.0808,0.3844,0.2056,
52,hopeful,cautious,vader_compound,10,18,0.3398,0.0,-0.3398,0.3039,0.0452,-0.2587,0.2806,0.2556,
52,hopeful,curious,tb_polarity,23,15,0.0,0.0,0.0,0.0344,-0.0213,-0.0557,0.8412,0.0406,
52,hopeful,curious,vader_compound,23,15,0.0,0.0,0.0,0.0306,0.0624,0.0318,0.7756,-0.058,
52,hopeful,empathetic,tb_polarity,13,9,0.0,-0.05,-0.05,0.0878,-0.1262,-0.214,0.2989,0.2735,
52,hopeful,empathetic,vader_compound,13,9,0.0,0.1027,0.1027,0.003,-0.0354,-0.0384,1.0,-0.0085,
365,afraid,aggressive,tb_polarity,4,7,,,,,,,,,insufficient data
365,afraid,aggressive,vader_compound,4,7,,,,,,,,,insufficient data
365,afraid,brave,tb_polarity,8,16,0.0,-0.0167,-0.0167,-0.0639,-0.0048,0.0591,0.9509,0.0234,
365,afraid,brave,vader_compound,8,16,-0.2542,0.1132,0.3673,0.0831,0.1461,0.0629,0.8299,-0.0625,
365,afraid,cautious,tb_polarity,5,8,-0.1,0.0,0.1,-0.2168,-0.021,0.1959,0.1614,-0.5,
365,afraid,cautious,vader_compound,5,8,-0.1779,0.0,0.1779,-0.3165,0.0367,0.3532,0.2006,-0.45,
365,afraid,curious,tb_polarity,18,12,0.0,-0.025,-0.025,0.0209,-0.0694,-0.0903,0.3728,0.1991,
365,afraid,curious,vader_compound,18,12,0.0,0.0,0.0,-0.0487,-0.0265,0.0223,0.8985,-0.0324,
365,afraid,empathetic,tb_polarity,11,11,-0.2229,-0.05,0.1729,-0.1924,-0.2067,-0.0143,0.8941,0.0413,
365,afraid,empathetic,vader_compound,11,11,0.0,0.0,0.0,-0.105,0.1409,0.2458,0.2594,-0.2893,
365,anxious,aggressive,tb_polarity,2,4,,,,,,,,,insufficient data
365,anxious,aggressive,vader_compound,2,4,,,,,,,,,insufficient data
365,anxious,brave,tb_polarity,8,5,0.0,-0.0333,-0.0333,0.0062,-0.0442,-0.0504,0.235,0.425,
